review_id,date,year,month,quarter,company,category,rating,review_text,true_sentiment,primary_topic,all_topics,is_priority,priority_signals,word_count,char_count
REV00036,2024-08-26,2024,8,Q3,Robert Dyas,Home & Kitchen,4,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00037,2022-07-18,2022,7,Q3,Boohoo,Clothing & Fashion,4,Exceptional service from start to finish. The product exceeded my expectations completely. Highly recommended.,positive,customer_service,customer_service,False,,14,110
REV00038,2024-08-14,2024,8,Q3,GO Outdoors,Sports & Outdoors,5,"Excellent product, great price, speedy delivery. Everything you could want from an online retailer.",positive,delivery,delivery|price_value,False,,14,99
REV00039,2022-07-21,2022,7,Q3,Decathlon UK,Sports & Outdoors,3,Adequate product. Not the best I have bought but not the worst either. Probably would not reorder.,neutral,general,general,False,,17,98
REV00040,2022-08-12,2022,8,Q3,Ebuyer,Electronics,3,"Product is fine, mostly matches description. Had to contact support once, they were fairly helpful.",neutral,customer_service,customer_service|product_accuracy,False,,15,99
REV00041,2022-10-15,2022,10,Q4,Next,Clothing & Fashion,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00042,2022-06-04,2022,6,Q2,Holland & Barrett,Health & Beauty,4,Couldn't be happier with this purchase. Works exactly as described and arrived the very next day.,positive,delivery,delivery|product_accuracy,False,,16,97
REV00043,2022-01-31,2022,1,Q1,Cult Beauty,Health & Beauty,5,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00044,2024-09-12,2024,9,Q3,Currys,Electronics,5,"Excellent product, great price, speedy delivery. Everything you could want from an online retailer.",positive,delivery,delivery|price_value,False,,14,99
REV00045,2022-01-05,2022,1,Q1,Boohoo,Clothing & Fashion,5,Superb quality and great value. Delivery was prompt and the item was well packaged. Very pleased indeed.,positive,delivery,delivery|quality|price_value|packaging,False,,17,104
REV00046,2024-09-23,2024,9,Q3,LookFantastic,Health & Beauty,2,Avoid this company at all costs. They take your money then completely ignore you. Reported to Trading Standards.,negative,price_value,price_value,True,legal_threat,18,112
REV00047,2022-05-05,2022,5,Q2,Next,Clothing & Fashion,4,Exceptional service from start to finish. The product exceeded my expectations completely. Highly recommended.,positive,customer_service,customer_service,False,,14,110
REV00048,2024-09-03,2024,9,Q3,Wiggle,Sports & Outdoors,5,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00049,2022-06-14,2022,6,Q2,Foyles,Books & Media,5,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00050,2024-04-06,2024,4,Q2,ASOS,Clothing & Fashion,1,Disgusting customer service. They ignored my emails for two weeks. Had to raise a PayPal dispute to get help.,negative,delivery,delivery|customer_service|returns_refunds,False,,19,109
REV00051,2022-03-23,2022,3,Q1,Scan Computers,Electronics,5,"Ordered on Monday, arrived Tuesday. Perfect condition, exactly as described. Couldn't ask for more.",positive,delivery,delivery|product_accuracy,False,,14,99
REV00052,2023-06-19,2023,6,Q2,Waterstones,Books & Media,1,"Shockingly bad. Received someone else's order, took two weeks to fix, still waiting for correct item.",negative,delivery,delivery,True,safety_hazard|health_risk,16,101
REV00053,2022-09-26,2022,9,Q3,Marks & Spencer,Clothing & Fashion,5,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00054,2022-01-20,2022,1,Q1,Wiggle,Sports & Outdoors,1,Absolutely furious. Product completely different to what was advertised. Refused to accept the return. Awful.,negative,returns_refunds,returns_refunds|product_accuracy,False,,15,109
REV00055,2023-03-13,2023,3,Q1,Cult Beauty,Health & Beauty,1,Product arrived damaged and the returns process is an absolute nightmare. Took over a month for a refund.,negative,delivery,delivery|returns_refunds|packaging,False,,18,105
REV00056,2023-05-16,2023,5,Q2,Amazon UK,Books & Media,4,Very pleased with my order. The quality is outstanding and shipping was incredibly fast. Will return.,positive,delivery,delivery|returns_refunds|quality,True,health_risk,16,101
REV00057,2023-09-12,2023,9,Q3,Wayfair UK,Home & Kitchen,5,Couldn't be happier with this purchase. Works exactly as described and arrived the very next day.,positive,delivery,delivery|product_accuracy,False,,16,97
REV00058,2022-08-01,2022,8,Q3,Foyles,Books & Media,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00059,2022-11-15,2022,11,Q4,Marks & Spencer,Clothing & Fashion,5,Outstanding customer service when I had a query. They resolved everything within hours. Absolutely brilliant.,positive,customer_service,customer_service,True,health_risk,15,109
REV00060,2023-02-21,2023,2,Q1,Wayfair UK,Home & Kitchen,1,Do not order from here. My parcel was lost and they refused to refund me without raising a formal dispute.,negative,delivery,delivery|returns_refunds,False,,20,106
REV00061,2022-04-15,2022,4,Q2,Wiggle,Sports & Outdoors,1,Waited four weeks for item that never arrived. Tracking not updated. Phone line goes to voicemail. Terrible.,negative,delivery,delivery|customer_service,False,,17,108
REV00062,2023-11-15,2023,11,Q4,Ebuyer,Electronics,4,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00063,2024-05-25,2024,5,Q2,Marks & Spencer,Clothing & Fashion,5,Couldn't be happier with this purchase. Works exactly as described and arrived the very next day.,positive,delivery,delivery|product_accuracy,False,,16,97
REV00064,2022-03-15,2022,3,Q1,Waterstones,Books & Media,4,Really impressed with how quickly this arrived. The product is exactly as described and great quality.,positive,delivery,delivery|quality|product_accuracy,False,,16,102
REV00065,2022-09-19,2022,9,Q3,Argos,Home & Kitchen,2,Complete rubbish. Nothing like the description. Cheap materials and it stopped working after two days.,negative,delivery,delivery|quality|product_accuracy|price_value,False,,15,102
REV00066,2023-03-07,2023,3,Q1,AO.com,Electronics,5,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00067,2023-12-26,2023,12,Q4,Sports Direct,Sports & Outdoors,3,Decent enough for the price. Not quite what I expected from the description but it does the job.,neutral,price_value,price_value,False,,18,96
REV00068,2022-11-29,2022,11,Q4,Book Depository,Books & Media,1,Complete rubbish. Nothing like the description. Cheap materials and it stopped working after two days.,negative,delivery,delivery|quality|product_accuracy|price_value,False,,15,102
REV00069,2024-04-23,2024,4,Q2,Boohoo,Clothing & Fashion,5,Superb quality and great value. Delivery was prompt and the item was well packaged. Very pleased indeed.,positive,delivery,delivery|quality|price_value|packaging,False,,17,104
REV00070,2024-02-23,2024,2,Q1,Sports Direct,Sports & Outdoors,4,Superb quality and great value. Delivery was prompt and the item was well packaged. Very pleased indeed.,positive,delivery,delivery|quality|price_value|packaging,False,,17,104
REV00071,2023-12-18,2023,12,Q4,Ebuyer,Electronics,5,Exceptional service from start to finish. The product exceeded my expectations completely. Highly recommended.,positive,customer_service,customer_service,False,,14,110
REV00072,2024-03-27,2024,3,Q1,IKEA UK,Home & Kitchen,4,"Absolutely brilliant product, arrived next day and works perfectly. Would definitely recommend to anyone.",positive,delivery,delivery,True,health_risk,14,105
REV00073,2024-11-09,2024,11,Q4,Wayfair UK,Home & Kitchen,5,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00074,2023-06-19,2023,6,Q2,Cult Beauty,Health & Beauty,4,"Absolutely brilliant product, arrived next day and works perfectly. Would definitely recommend to anyone.",positive,delivery,delivery,True,health_risk,14,105
REV00075,2024-06-08,2024,6,Q2,John Lewis,Clothing & Fashion,4,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00076,2024-02-28,2024,2,Q1,Wayfair UK,Home & Kitchen,1,"Never again. Item faulty out of the box, returns policy deliberately confusing. Trading Standards notified.",negative,returns_refunds,returns_refunds|quality|packaging,True,legal_threat,15,107
REV00077,2022-01-04,2022,1,Q1,WHSmith,Books & Media,5,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00078,2023-02-08,2023,2,Q1,Foyles,Books & Media,3,Standard experience. Item is acceptable. Would have given five stars if delivery had been quicker.,neutral,delivery,delivery,False,,15,98
REV00079,2023-10-05,2023,10,Q4,Robert Dyas,Home & Kitchen,5,"Wonderful product, exactly as advertised. Delivered ahead of schedule. Customer service top notch.",positive,customer_service,customer_service|product_accuracy,False,,13,98
REV00080,2023-09-08,2023,9,Q3,Decathlon UK,Sports & Outdoors,3,Average all round. Item works but feels cheaper than the price suggests. Delivery was acceptable.,neutral,delivery,delivery|price_value,False,,15,97
REV00081,2023-10-31,2023,10,Q4,Amazon UK,Books & Media,3,Reasonably satisfied. Delivery was a day late but item is decent quality for the price paid.,neutral,delivery,delivery|quality|price_value,False,,16,92
REV00082,2024-05-11,2024,5,Q2,LookFantastic,Health & Beauty,1,Complete rubbish. Nothing like the description. Cheap materials and it stopped working after two days.,negative,delivery,delivery|quality|product_accuracy|price_value,False,,15,102
REV00083,2022-12-23,2022,12,Q4,GO Outdoors,Sports & Outdoors,3,Standard experience. Item is acceptable. Would have given five stars if delivery had been quicker.,neutral,delivery,delivery,False,,15,98
REV00084,2022-01-01,2022,1,Q1,Foyles,Books & Media,5,Fantastic buy. The item is perfect and arrived well before the estimated delivery date. Very impressed.,positive,delivery,delivery,False,,16,103
REV00085,2023-10-22,2023,10,Q4,Wayfair UK,Home & Kitchen,5,"Excellent product, great price, speedy delivery. Everything you could want from an online retailer.",positive,delivery,delivery|price_value,False,,14,99
REV00086,2022-12-14,2022,12,Q4,Superdrug,Health & Beauty,2,Do not order from here. My parcel was lost and they refused to refund me without raising a formal dispute.,negative,delivery,delivery|returns_refunds,False,,20,106
REV00087,2023-11-18,2023,11,Q4,Decathlon UK,Sports & Outdoors,5,"Absolutely love this product. Easy to order, great communication, arrived perfectly packaged. Thank you.",positive,delivery,delivery|packaging,False,,14,104
REV00088,2023-04-06,2023,4,Q2,Currys,Electronics,3,Standard purchase experience. Nothing exceptional to report. Item is functional and reasonably priced.,neutral,price_value,price_value,False,,13,102
REV00089,2024-08-31,2024,8,Q3,Next,Clothing & Fashion,4,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00090,2024-02-26,2024,2,Q1,Waterstones,Books & Media,1,Horrible experience from start to finish. Charged twice for one order. Took weeks to get my money back.,negative,delivery,delivery|returns_refunds|price_value,False,,18,103
REV00091,2022-08-07,2022,8,Q3,Superdrug,Health & Beauty,4,"Perfect item, exactly what I needed. Very happy with my purchase and will be ordering again soon.",positive,product_accuracy,product_accuracy,True,health_risk,17,97
REV00092,2022-04-13,2022,4,Q2,Holland & Barrett,Health & Beauty,5,"Absolutely love this product. Easy to order, great communication, arrived perfectly packaged. Thank you.",positive,delivery,delivery|packaging,False,,14,104
REV00093,2024-08-09,2024,8,Q3,WHSmith,Books & Media,4,Couldn't be happier with this purchase. Works exactly as described and arrived the very next day.,positive,delivery,delivery|product_accuracy,False,,16,97
REV00094,2024-06-25,2024,6,Q2,Halfords,Sports & Outdoors,1,"Never again. Item faulty out of the box, returns policy deliberately confusing. Trading Standards notified.",negative,returns_refunds,returns_refunds|quality|packaging,True,legal_threat,15,107
REV00095,2022-11-22,2022,11,Q4,Foyles,Books & Media,2,"Appalling. Order cancelled without notice, refund took three weeks, no apology whatsoever. Stay away.",negative,delivery,delivery|returns_refunds,False,,14,101
REV00096,2023-07-22,2023,7,Q3,GO Outdoors,Sports & Outdoors,1,"Dreadful experience. Waited a month, chased them constantly, eventually received a badly damaged item.",negative,packaging,packaging,False,,14,102
REV00097,2024-06-19,2024,6,Q2,Book Depository,Books & Media,1,Shocking quality. Fell apart immediately. Photos on the listing are clearly misleading. Not fit for purpose.,negative,quality,quality|product_accuracy,True,safety_hazard,16,108
REV00098,2023-10-17,2023,10,Q4,AO.com,Electronics,5,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00099,2024-02-24,2024,2,Q1,Waterstones,Books & Media,4,"Perfect item, exactly what I needed. Very happy with my purchase and will be ordering again soon.",positive,product_accuracy,product_accuracy,True,health_risk,17,97
REV00100,2022-05-12,2022,5,Q2,Sports Direct,Sports & Outdoors,3,It's alright. Does what it says on the tin. Packaging was a bit flimsy but item was undamaged.,neutral,quality,quality|packaging,False,,18,94
REV00101,2024-05-01,2024,5,Q2,Superdrug,Health & Beauty,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00102,2024-02-19,2024,2,Q1,Currys,Electronics,1,"Sent defective item, customer service blamed me entirely, took six weeks to resolve. Never shopping here again.",negative,delivery,delivery|customer_service|quality,False,,17,111
REV00103,2024-05-08,2024,5,Q2,Boots,Health & Beauty,5,"Really happy with this purchase. Great value, fast delivery and excellent build quality throughout.",positive,delivery,delivery|quality|price_value,False,,14,99
REV00104,2023-03-26,2023,3,Q1,Foyles,Books & Media,2,Shocking quality. Fell apart immediately. Photos on the listing are clearly misleading. Not fit for purpose.,negative,quality,quality|product_accuracy,True,safety_hazard,16,108
REV00105,2023-11-20,2023,11,Q4,Robert Dyas,Home & Kitchen,2,Absolutely appalling service. Waited three weeks and still no delivery. No response from customer service.,negative,delivery,delivery|customer_service,True,health_risk,15,106
REV00106,2024-08-15,2024,8,Q3,GO Outdoors,Sports & Outdoors,3,Average product. Works fine but nothing remarkable. Delivery was on time. Would probably buy again.,neutral,delivery,delivery,False,,15,99
REV00107,2022-02-25,2022,2,Q1,John Lewis,Clothing & Fashion,2,Absolutely appalling service. Waited three weeks and still no delivery. No response from customer service.,negative,delivery,delivery|customer_service,True,health_risk,15,106
REV00108,2022-04-13,2022,4,Q2,Ebuyer,Electronics,4,Couldn't be happier with this purchase. Works exactly as described and arrived the very next day.,positive,delivery,delivery|product_accuracy,False,,16,97
REV00109,2023-11-01,2023,11,Q4,Robert Dyas,Home & Kitchen,5,Exceptional service from start to finish. The product exceeded my expectations completely. Highly recommended.,positive,customer_service,customer_service,False,,14,110
REV00110,2022-06-17,2022,6,Q2,Robert Dyas,Home & Kitchen,5,"Excellent product, great price, speedy delivery. Everything you could want from an online retailer.",positive,delivery,delivery|price_value,False,,14,99
REV00111,2023-12-18,2023,12,Q4,Boots,Health & Beauty,1,DISCRIMINATION: Staff member made racist comments during my complaint call. Unacceptable and illegal. I have documented everything.,negative,customer_service,customer_service,True,health_risk|discrimination,17,131
REV00112,2023-05-22,2023,5,Q2,ASOS,Clothing & Fashion,1,URGENT: Product is a safety hazard. It sparked and almost caused a fire. This needs immediate recall. I have documented everything.,negative,safety,safety,True,safety_hazard,21,131
REV00113,2022-09-16,2022,9,Q3,ASOS,Clothing & Fashion,1,Complete rubbish. Nothing like the description. Cheap materials and it stopped working after two days.,negative,delivery,delivery|quality|product_accuracy|price_value,False,,15,102
REV00114,2023-06-09,2023,6,Q2,Boots,Health & Beauty,2,Do not order from here. My parcel was lost and they refused to refund me without raising a formal dispute.,negative,delivery,delivery|returns_refunds,False,,20,106
REV00115,2022-12-02,2022,12,Q4,IKEA UK,Home & Kitchen,1,"Never again. Item faulty out of the box, returns policy deliberately confusing. Trading Standards notified.",negative,returns_refunds,returns_refunds|quality|packaging,True,legal_threat,15,107
REV00116,2024-02-08,2024,2,Q1,Dunelm,Home & Kitchen,1,Absolutely appalling service. Waited three weeks and still no delivery. No response from customer service.,negative,delivery,delivery|customer_service,True,health_risk,15,106
REV00117,2022-07-28,2022,7,Q3,Holland & Barrett,Health & Beauty,4,"Ordered on Monday, arrived Tuesday. Perfect condition, exactly as described. Couldn't ask for more.",positive,delivery,delivery|product_accuracy,False,,14,99
REV00118,2022-09-05,2022,9,Q3,Wiggle,Sports & Outdoors,3,"Fair product and service. Delivery estimate was off by two days. Item is as described, no complaints.",neutral,delivery,delivery|customer_service|product_accuracy,False,,17,101
REV00119,2024-01-29,2024,1,Q1,Waterstones,Books & Media,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00120,2024-05-10,2024,5,Q2,Scan Computers,Electronics,1,Absolutely furious. Product completely different to what was advertised. Refused to accept the return. Awful.,negative,returns_refunds,returns_refunds|product_accuracy,False,,15,109
REV00121,2022-11-10,2022,11,Q4,Boots,Health & Beauty,2,"Three separate issues with this order. Wrong size sent first, then lost in transit, then refused a refund.",negative,returns_refunds,returns_refunds,True,legal_threat,18,106
REV00122,2023-07-08,2023,7,Q3,Holland & Barrett,Health & Beauty,3,"Middle of the road. Item arrived in reasonable time and is satisfactory. Nothing more, nothing less.",neutral,delivery,delivery,False,,16,100
REV00123,2024-06-11,2024,6,Q2,Foyles,Books & Media,1,HEALTH RISK: Food supplement contained undisclosed allergen. Anaphylactic reaction. Solicitor instructed. Avoid this company.,negative,safety,safety,True,health_risk|legal_threat,14,125
REV00124,2022-06-27,2022,6,Q2,Halfords,Sports & Outdoors,4,"Wonderful product, exactly as advertised. Delivered ahead of schedule. Customer service top notch.",positive,customer_service,customer_service|product_accuracy,False,,13,98
REV00125,2024-02-16,2024,2,Q1,Robert Dyas,Home & Kitchen,5,Couldn't be happier with this purchase. Works exactly as described and arrived the very next day.,positive,delivery,delivery|product_accuracy,False,,16,97
REV00126,2024-09-25,2024,9,Q3,Dunelm,Home & Kitchen,1,Absolutely furious. Product completely different to what was advertised. Refused to accept the return. Awful.,negative,returns_refunds,returns_refunds|product_accuracy,False,,15,109
REV00127,2023-07-20,2023,7,Q3,Marks & Spencer,Clothing & Fashion,5,"Wonderful product, exactly as advertised. Delivered ahead of schedule. Customer service top notch.",positive,customer_service,customer_service|product_accuracy,False,,13,98
REV00128,2023-05-10,2023,5,Q2,Waterstones,Books & Media,1,Do not order from here. My parcel was lost and they refused to refund me without raising a formal dispute.,negative,delivery,delivery|returns_refunds,False,,20,106
REV00129,2024-09-02,2024,9,Q3,GO Outdoors,Sports & Outdoors,1,"Appalling. Order cancelled without notice, refund took three weeks, no apology whatsoever. Stay away.",negative,delivery,delivery|returns_refunds,False,,14,101
REV00130,2023-08-26,2023,8,Q3,GO Outdoors,Sports & Outdoors,1,Absolutely appalling service. Waited three weeks and still no delivery. No response from customer service.,negative,delivery,delivery|customer_service,True,health_risk,15,106
REV00131,2023-09-20,2023,9,Q3,Boohoo,Clothing & Fashion,3,It's alright. Does what it says on the tin. Packaging was a bit flimsy but item was undamaged.,neutral,quality,quality|packaging,False,,18,94
REV00132,2024-12-23,2024,12,Q4,Halfords,Sports & Outdoors,5,"Five star experience. Product is exactly as shown, delivery was free and very fast. Would recommend.",positive,delivery,delivery|product_accuracy,False,,16,100
REV00133,2023-12-22,2023,12,Q4,Robert Dyas,Home & Kitchen,1,DISCRIMINATION: Staff member made racist comments during my complaint call. Unacceptable and illegal. Urgent action required.,negative,customer_service,customer_service,True,health_risk|discrimination,16,125
REV00134,2023-04-18,2023,4,Q2,GO Outdoors,Sports & Outdoors,5,"Really happy with this purchase. Great value, fast delivery and excellent build quality throughout.",positive,delivery,delivery|quality|price_value,False,,14,99
REV00135,2023-01-15,2023,1,Q1,Currys,Electronics,5,Outstanding customer service when I had a query. They resolved everything within hours. Absolutely brilliant.,positive,customer_service,customer_service,True,health_risk,15,109
REV00136,2023-07-21,2023,7,Q3,Next,Clothing & Fashion,3,It's okay. Expected slightly better quality based on the photos but it is acceptable for everyday use.,neutral,quality,quality|product_accuracy,False,,17,102
REV00137,2023-08-03,2023,8,Q3,Halfords,Sports & Outdoors,1,DISCRIMINATION: Staff member made racist comments during my complaint call. Unacceptable and illegal. I am seeking compensation.,negative,customer_service,customer_service,True,health_risk|discrimination,17,128
REV00138,2023-01-03,2023,1,Q1,Currys,Electronics,5,"Arrived quickly, well packaged, exactly as described. Customer service was also very helpful and friendly.",positive,delivery,delivery|customer_service|product_accuracy|packaging,False,,15,106
REV00139,2022-09-17,2022,9,Q3,Dunelm,Home & Kitchen,3,"Middle of the road. Item arrived in reasonable time and is satisfactory. Nothing more, nothing less.",neutral,delivery,delivery,False,,16,100
REV00140,2022-09-16,2022,9,Q3,Dunelm,Home & Kitchen,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00141,2023-08-06,2023,8,Q3,GO Outdoors,Sports & Outdoors,5,"Absolutely brilliant product, arrived next day and works perfectly. Would definitely recommend to anyone.",positive,delivery,delivery,True,health_risk,14,105
